ID,Date,City,Platform,Category,Product_Type,Product_Name,Pack_Size,MRP,Selling_Price,Discount,Stock_Status
222,22-07-26,Chennai,Zepto,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
223,22-07-26,Delhi,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,,100,Out of stock
224,22-07-26,Chennai,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,,100,Out of stock
225,22-07-26,Mumbai,Zepto,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,,100,Out of stock
226,23-07-26,Delhi,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
438,23-07-26,Mumbai,Blinkit,Chocolates,Chocolate,Cadbury Dairy Milk Chocolate Bar,46 g,53,51,4,In stock
228,23-07-26,Pune,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
229,23-07-26,Bengaluru,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
230,23-07-26,Chennai,Blinkit,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
231,23-07-26,Mumbai,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
232,23-07-26,Pune,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
233,23-07-26,Bengaluru,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
234,23-07-26,Delhi,Zepto,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
235,23-07-26,Pune,Zepto,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
236,23-07-26,Bengaluru,Zepto,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,20,0,In stock
237,23-07-26,Delhi,Instamart,Drinks and Beverages,Bottled water,Bisleri Packaged Water,1 lit,20,,100,Out of stock
